Название ;Автор(ы) (Фамилия Имя Отчество);Год издания ;Цена;Отделение;Жанр(ы);Количество;Издательство;Стеллаж(и);
Общая биология ОБЩЕОБРАЗОВАТЕЛЬНЫЕ ДИСЦИПЛИНЫ;В.М. Константинов, А.Г. Резанов, Е.О. Фадеева;2010;NULL;Общеобразовательное;Общеобразовательное;2;Академия;1;
Биология для колледжей;Р.Г. Заяц, В.Э. Бутвиловский;2017;NULL;Общеобразовательное;Общеобразовательное;5;Фениск;1;
Химия;Ю.М. Брохин;2007;NULL;Общеобразовательное;Общеобразовательное;10;Академия;1;
Практикум по общей, неорганической и органической химии;О.С. Габриелян, И.Г. Остроумов, Н.М. Дорофеева;2011;NULL;Общеобразовательное;Общеобразовательное;2;Академия;1;
Сборник задач и упражнений по химии;Ю.М. Ерохин, В.И. Фролов;2005;NULL;Общеобразовательное;Общеобразовательное;1;Академия;1;
Химия задачи и упражнения;Ю.М. Ерохин, В.И. Фролов;2019;NULL;Общеобразовательное;Общеобразовательное;1;Академия;1;
Химия в тестах, задачах и упражнениях;О.С. Габриелян, Г.Г. Лысова;2014;NULL;Общеобразовательное;Общеобразовательное;5;Академия;1;
Химия ;Г.Е. Рудзитис, Ф.Г. Фельдман;2000;NULL;Общеобразовательное;Общеобразовательное;1;Просвещение;1;
Неорганическая химия для высшей школы;И.А. Дибров;2001;NULL;Общеобразовательное;Общеобразовательное;1;Лань;1;
Общая химия;И.Г. Хомченко;2005;NULL;Общеобразовательное;Общеобразовательное;1;Новая волна;1;
Сборник тестовых заданий по химии; Ю.М. Ерохин;2019;NULL;Общеобразовательное;Общеобразовательное;2;Академия;1;
Химия задачи и упражнения;Ю.М. Ерохин;2019;NULL;Общеобразовательное;Общеобразовательное;1;Академия;1;
Химия;Ю.М. Ерохин;2003;NULL;Общеобразовательное;Общеобразовательное;8;Академия;1;
Фармацевтическая химия ;Н.Н. Глущенко, Т.В. Плетенева, В.А. Попков;2004;NULL;Общеобразовательное;Общеобразовательное;1;Академия;1;
